,Species,GA_original,species,GA,size,gc,genes
1878,kestrel polyomavirus 1,,kestrel polyomavirus 1,,,,
1879,la Roche virus,0,la Roche virus,,,,
1880,le Maire virus,0,le Maire virus,,,,
1881,psittacine adenovirus 10,,psittacine adenovirus 10,,,,
1882,psittacine adenovirus 8,,psittacine adenovirus 8,,,,
1883,psittacine adenovirus 9,,psittacine adenovirus 9,,,,
1884,robinz virus RP_1123,,robinz virus RP_1123,GCA_031280485.1,1929.0,34.5,
1885,robinz virus RP_1124,,robinz virus RP_1124,GCA_031280535.1,1933.0,34.5,
1886,robinz virus RP_116,,robinz virus RP_116,GCA_031280745.1,2213.0,50.0,
1887,robinz virus RP_1170,,robinz virus RP_1170,GCF_029886335.1,1846.0,39.0,2.0
1888,robinz virus RP_199,,robinz virus RP_199,GCA_031280765.1,2195.0,55.5,
1889,robinz virus RP_212,,robinz virus RP_212,GCA_031280925.1,2114.0,48.5,
1890,robinz virus RP_244,,robinz virus RP_244,GCA_031281065.1,1790.0,44.5,
1891,robinz virus RP_258,,robinz virus RP_258,GCA_031280985.1,2083.0,44.5,
1892,robinz virus RP_259,,robinz virus RP_259,GCF_029886275.1,1916.0,40.5,2.0
1893,robinz virus RP_326,,robinz virus RP_326,GCA_031280835.1,1982.0,48.0,
1894,robinz virus RP_327,,robinz virus RP_327,GCA_031281095.1,2573.0,53.5,
1895,robinz virus RP_334,,robinz virus RP_334,GCA_031281165.1,2458.0,49.0,
1896,robinz virus RP_340,,robinz virus RP_340,GCA_031281185.1,2263.0,45.5,
1897,robinz virus RP_369,,robinz virus RP_369,GCA_031280595.1,2215.0,52.0,
1898,robinz virus RP_377,,robinz virus RP_377,GCA_031280875.1,2194.0,50.5,
1899,robinz virus RP_380,,robinz virus RP_380,GCA_031280605.1,2219.0,48.0,
1900,robinz virus RP_382,,robinz virus RP_382,GCA_031281015.1,2224.0,50.0,
1901,robinz virus RP_384,,robinz virus RP_384,GCA_031280655.1,2218.0,52.0,
1902,robinz virus RP_385,,robinz virus RP_385,,,,
1903,robinz virus RP_386,,robinz virus RP_386,GCA_031281355.1,2207.0,52.0,
1904,robinz virus RP_389,,robinz virus RP_389,GCA_031281035.1,2212.0,49.5,
1905,robinz virus RP_390,,robinz virus RP_390,GCA_031280895.1,2141.0,53.0,
1906,robinz virus RP_393,,robinz virus RP_393,GCA_031280735.1,2190.0,54.5,
1907,robinz virus RP_404,,robinz virus RP_404,GCA_031281205.1,2094.0,47.5,
1908,robinz virus RP_428,,robinz virus RP_428,GCA_031281235.1,2067.0,47.0,
1909,robinz virus RP_429,,robinz virus RP_429,GCA_031281295.1,2068.0,50.5,
1910,robinz virus RP_493,,robinz virus RP_493,GCF_029886285.1,1939.0,49.0,2.0
1911,robinz virus RP_513,,robinz virus RP_513,GCA_031281325.1,1781.0,34.0,
1912,robinz virus RP_526,,robinz virus RP_526,GCF_029886295.1,1806.0,38.5,2.0
1913,robinz virus RP_584,,robinz virus RP_584,GCF_029886305.1,1882.0,42.0,2.0
1914,robinz virus RP_620,,robinz virus RP_620,GCF_029886315.1,1930.0,34.5,2.0
1915,robinz virus RP_736,,robinz virus RP_736,GCF_029886325.1,1829.0,39.5,2.0
1916,robinz virus RP_954,,robinz virus RP_954,GCA_031280465.1,1914.0,40.5,
1917,robinz virus RP_99,,robinz virus RP_99,GCA_031280575.1,2257.0,51.5,
1918,shorebird astrovirus,0,shorebird astrovirus,,,,
1919,shorebird coronavirus,0,shorebird coronavirus,,,,
1920,south polar skua adenovirus-6,0,south polar skua adenovirus-6,,,,
1921,ssDNA virus sp.,,ssDNA virus sp.,,,,
1922,tawny owl-associated circovirus,,tawny owl-associated circovirus,GCA_031314345.1,1745.0,47.5,2.0
1923,trumpeter swan calicivirus,,trumpeter swan calicivirus,GCA_031321585.1,8368.0,52.0,2.0
1924,unclassified avian avulavirus strain musk lorikeet/Melbourne/ML22-141263/2014,0,unclassified avian avulavirus strain musk lorikeet/Melbourne/ML22-141263/2014,,,,
1925,unidentified Avipoxvirus,0,unidentified Avipoxvirus,,,,
1926,unidentified adenovirus,0,unidentified adenovirus,GCA_024750155.1,35938.0,55.0,15.0
1927,unidentified influenza virus,,unidentified influenza virus,,,,
