Pathogen Species,Species,GA,size,gc,genes,GA_missing,size_missing,gc_missing,genes_missing
Turdus hortulorum parvoviridae sp.,Turdus hortulorum parvoviridae sp.,,,,,1,1,1,1
Turdus merula herpesvirus,Turdus merula herpesvirus,,,,,1,1,1,1
Turdus naumanni CRESS-DNA-virus sp.,Turdus naumanni CRESS-DNA-virus sp.,,,,,1,1,1,1
Turdus naumanni Ichthamaparvovirus,Turdus naumanni Ichthamaparvovirus,,,,,1,1,1,1
Turdus naumanni parvoviridae sp.,Turdus naumanni parvoviridae sp.,,,,,1,1,1,1
Turdus pallidus Chaphamaparvovirus,Turdus pallidus Chaphamaparvovirus,,,,,1,1,1,1
Turdus pallidus parvoviridae sp.,Turdus pallidus parvoviridae sp.,,,,,1,1,1,1
Turkey astrovirus,Turkey astrovirus,GCF_000857825.1,7003.0,43.5,2.0,0,0,0,0
Turkey astrovirus 3,Turkey astrovirus 3,,,,,1,1,1,1
Turkey aviadenovirus 2,Turkey aviadenovirus 2,,,,,1,1,1,1
Turkey aviadenovirus B,Turkey aviadenovirus B,GCF_000888635.1,45413.0,67.0,37.0,0,0,0,0
Turkey aviadenovirus C,Turkey aviadenovirus C,GCF_000912195.1,42940.0,48.5,33.0,0,0,0,0
Turkey aviadenovirus D,Turkey aviadenovirus D,GCF_000913655.1,43686.0,51.5,37.0,0,0,0,0
Turkey parvovirus Croatia/Munt/2010,Turkey parvovirus Croatia/Munt/2010,,,,,1,1,1,1
Turkey parvovirus Tu33/2010/HUN,Turkey parvovirus Tu33/2010/HUN,,,,,1,1,1,1
Turkey parvovirus Tu762/2009/HUN,Turkey parvovirus Tu762/2009/HUN,,,,,1,1,1,1
Turkey picobirnavirus,Turkey picobirnavirus,,,,,1,1,1,1
Turkey picornavirus,Turkey picornavirus,,,,,1,1,1,1
Turkey siadenovirus A,Turkey siadenovirus A,,,,,1,1,1,1
Turkeypox virus,Turkeypox virus,GCF_001431935.1,188534.0,30.0,171.0,0,0,0,0
Tyabin virus,Tyabin virus,,,,,1,1,1,1
Tymoviridae sp. XZN137671,Tymoviridae sp. XZN137671,,,,,1,1,1,1
Ui-te-Rangiora virus,Ui-te-Rangiora virus,,,,,1,1,1,1
Umatilla virus,Umatilla virus,GCF_000923315.1,19402.0,41.0,10.0,0,0,0,0
Uukuvirus uriae,Uukuvirus uriae,GCF_013086475.1,11455.0,42.5,4.0,0,0,0,0
Varley virus,Varley virus,,,,,1,1,1,1
Venezuelan equine encephalitis virus,Venezuelan equine encephalitis virus,GCF_002889695.1,11447.0,50.0,6.0,0,0,0,0
Vespucci virus,Vespucci virus,,,,,1,1,1,1
Virginian WCV avipoxvirus,Virginian WCV avipoxvirus,,,,,1,1,1,1
Vultur gryphus poxvirus,Vultur gryphus poxvirus,,,,,1,1,1,1
Vulture herpesvirus,Vulture herpesvirus,,,,,1,1,1,1
Waterbird gammacoronavirus 1,Waterbird gammacoronavirus 1,,,,,1,1,1,1
Waterwitch virus,Waterwitch virus,,,,,1,1,1,1
Weivirus-like virus sp.,Weivirus-like virus sp.,,,,,1,1,1,1
Wendell virus,Wendell virus,,,,,1,1,1,1
Western equine encephalitis virus,Western equine encephalitis virus,GCF_002889215.1,11562.0,48.5,2.0,0,0,0,0
Western jackdaw circovirus,Western jackdaw circovirus,,,,,1,1,1,1
Whistler virus,Whistler virus,,,,,1,1,1,1
White-eye coronavirus HKU16,White-eye coronavirus HKU16,GCF_000896875.1,26041.0,40.0,8.0,0,0,0,0
White-rumped seedeater circovirus,White-rumped seedeater circovirus,,,,,1,1,1,1
WigFec circovirus 1,WigFec circovirus 1,GCF_029886425.1,1723.0,51.0,2.0,0,0,0,0
WigFec circovirus 2,WigFec circovirus 2,GCF_029886435.1,1821.0,48.0,2.0,0,0,0,0
Wigeon coronavirus HKU20,Wigeon coronavirus HKU20,GCF_000895415.1,26227.0,39.5,10.0,0,0,0,0
Wigfec virus K19_221,Wigfec virus K19_221,GCA_031321275.1,3789.0,46.5,,0,0,0,1
Wigfec virus K19_227,Wigfec virus K19_227,GCA_031320975.1,3714.0,39.0,,0,0,0,1
Wigfec virus K19_259,Wigfec virus K19_259,GCA_031321285.1,3393.0,37.5,,0,0,0,1
Wigfec virus K19_292,Wigfec virus K19_292,GCA_031321135.1,3112.0,38.5,,0,0,0,1
Wigfec virus K19_327,Wigfec virus K19_327,GCA_031321295.1,2948.0,44.5,,0,0,0,1
Wigfec virus K19_346,Wigfec virus K19_346,GCA_031321145.1,2885.0,38.0,,0,0,0,1
Wigfec virus K19_385,Wigfec virus K19_385,GCA_031321155.1,2661.0,37.0,,0,0,0,1
Wigfec virus K19_426,Wigfec virus K19_426,GCA_031320985.1,2412.0,43.0,,0,0,0,1
Wigfec virus K19_432,Wigfec virus K19_432,GCA_031320995.1,2388.0,43.0,,0,0,0,1
Wigfec virus K19_435,Wigfec virus K19_435,GCA_031321405.1,2375.0,51.0,,0,0,0,1
Wigfec virus K19_443,Wigfec virus K19_443,GCA_031321305.1,2360.0,46.0,,0,0,0,1
Wigfec virus K19_448,Wigfec virus K19_448,GCA_031321355.1,2327.0,38.5,,0,0,0,1
Wigfec virus K19_450,Wigfec virus K19_450,GCA_031321005.1,2318.0,43.5,,0,0,0,1
Wigfec virus K19_454,Wigfec virus K19_454,GCA_031321365.1,2301.0,46.5,,0,0,0,1
Wigfec virus K19_467,Wigfec virus K19_467,GCA_031321415.1,2232.0,45.5,,0,0,0,1
Wigfec virus K19_469,Wigfec virus K19_469,GCA_031321395.1,2231.0,50.5,,0,0,0,1
Wigfec virus K19_482,Wigfec virus K19_482,GCA_031321385.1,2200.0,51.5,,0,0,0,1
Wigfec virus K19_484,Wigfec virus K19_484,GCA_031321015.1,2197.0,51.0,,0,0,0,1
Wigfec virus K19_486,Wigfec virus K19_486,GCA_031321025.1,2194.0,53.5,,0,0,0,1
Wigfec virus K19_493,Wigfec virus K19_493,GCA_031321315.1,2170.0,45.0,,0,0,0,1
Wigfec virus K19_494,Wigfec virus K19_494,GCA_031321035.1,2155.0,50.0,,0,0,0,1
Wigfec virus K19_511,Wigfec virus K19_511,GCA_031321045.1,2108.0,50.5,,0,0,0,1
Wigfec virus K19_513,Wigfec virus K19_513,GCA_031321375.1,2104.0,44.5,,0,0,0,1
Wigfec virus K19_521,Wigfec virus K19_521,GCA_031321055.1,2090.0,34.0,,0,0,0,1
Wigfec virus K19_525,Wigfec virus K19_525,GCA_031321165.1,2086.0,32.0,,0,0,0,1
Wigfec virus K19_526,Wigfec virus K19_526,GCA_031321325.1,2084.0,42.0,,0,0,0,1
Wigfec virus K19_545,Wigfec virus K19_545,GCA_031321065.1,2037.0,41.5,,0,0,0,1
Wigfec virus K19_555,Wigfec virus K19_555,GCA_031321175.1,2020.0,45.5,,0,0,0,1
Wigfec virus K19_558,Wigfec virus K19_558,GCA_031321185.1,2010.0,46.5,,0,0,0,1
Wigfec virus K19_561,Wigfec virus K19_561,GCA_031321195.1,2004.0,31.5,,0,0,0,1
Wigfec virus K19_562,Wigfec virus K19_562,GCA_031321075.1,1999.0,47.5,,0,0,0,1
Wigfec virus K19_571,Wigfec virus K19_571,GCA_031321205.1,1986.0,39.0,,0,0,0,1
Wigfec virus K19_576,Wigfec virus K19_576,GCA_031321335.1,1981.0,52.0,,0,0,0,1
Wigfec virus K19_588,Wigfec virus K19_588,GCA_031321085.1,1934.0,41.5,,0,0,0,1
Wigfec virus K19_593,Wigfec virus K19_593,GCA_031321215.1,1929.0,37.5,,0,0,0,1
Wigfec virus K19_598,Wigfec virus K19_598,GCA_031321095.1,1920.0,40.0,,0,0,0,1
Wigfec virus K19_600,Wigfec virus K19_600,GCA_031321225.1,1916.0,37.0,,0,0,0,1
Wigfec virus K19_605,Wigfec virus K19_605,GCA_031321105.1,1903.0,42.0,,0,0,0,1
Wigfec virus K19_615,Wigfec virus K19_615,GCA_031321345.1,1865.0,35.5,,0,0,0,1
Wigfec virus K19_623,Wigfec virus K19_623,GCA_031321115.1,1840.0,30.5,,0,0,0,1
Wigfec virus K19_645,Wigfec virus K19_645,GCA_031321235.1,1750.0,42.5,,0,0,0,1
Wigfec virus K19_654,Wigfec virus K19_654,GCA_031321245.1,1726.0,38.0,,0,0,0,1
Wigfec virus K19_658,Wigfec virus K19_658,GCA_031321125.1,1722.0,37.0,,0,0,0,1
Wigfec virus K19_668,Wigfec virus K19_668,GCA_031321255.1,1702.0,37.0,,0,0,0,1
Wigfec virus K19_691,Wigfec virus K19_691,GCA_031321265.1,1665.0,38.5,,0,0,0,1
Wilkes virus,Wilkes virus,,,,,1,1,1,1
Wood duck chaphamaparvovirus,Wood duck chaphamaparvovirus,,,,,1,1,1,1
Wood duck megrivirus,Wood duck megrivirus,,,,,1,1,1,1
Wood pigeon astrovirus,Wood pigeon astrovirus,,,,,1,1,1,1
Yaounde-like virus Ave-Ghana/2007,Yaounde-like virus Ave-Ghana/2007,,,,,1,1,1,1
Yellow-eyed penguin gyrovirus,Yellow-eyed penguin gyrovirus,,,,,1,1,1,1
Yellow-eyed penguin megrivirus,Yellow-eyed penguin megrivirus,,,,,1,1,1,1
Yellow-eyed penguin picornavirus,Yellow-eyed penguin picornavirus,,,,,1,1,1,1
Yellow-fronted canary circovirus,Yellow-fronted canary circovirus,,,,,1,1,1,1
Zebra finch hepacivirus 1,Zebra finch hepacivirus 1,,,,,1,1,1,1
Zebra finch hepacivirus 2,Zebra finch hepacivirus 2,,,,,1,1,1,1
Zingilamo virus,Zingilamo virus,GCA_031320685.1,11687.0,52.5,,0,0,0,1
Zoothera dauma adenovirus,Zoothera dauma adenovirus,,,,,1,1,1,1
bar-headed goose anativirus,bar-headed goose anativirus,,,,,1,1,1,1
bar-headed goose hepatovirus,bar-headed goose hepatovirus,,,,,1,1,1,1
bar-headed goose megrivirus,bar-headed goose megrivirus,,,,,1,1,1,1
black-headed gull deltacoronavirus,black-headed gull deltacoronavirus,,,,,1,1,1,1
common gull deltacoronavirus,common gull deltacoronavirus,,,,,1,1,1,1
common gull gammacoronavirus,common gull gammacoronavirus,,,,,1,1,1,1
cormorant polyomavirus 1,cormorant polyomavirus 1,GCA_031281625.1,5133.0,47.5,,0,0,0,1
crane CRESS-DNA virus,crane CRESS-DNA virus,GCA_031274965.1,2243.0,51.5,,0,0,0,1
d'Urville virus,d'Urville virus,,,,,1,1,1,1
de Castilla virus,de Castilla virus,,,,,1,1,1,1
de Gerlache virus,de Gerlache virus,,,,,1,1,1,1
de Kerguelen virus,de Kerguelen virus,,,,,1,1,1,1
de Lozier virus,de Lozier virus,,,,,1,1,1,1
de Nodal virus,de Nodal virus,,,,,1,1,1,1
duck egg-reducing syndrome virus,duck egg-reducing syndrome virus,GCA_031321475.1,9042.0,41.5,,0,0,0,1
egret CRESS-DNA virus,egret CRESS-DNA virus,GCA_031275015.1,2216.0,54.0,,0,0,0,1
finch CRESS-DNA virus,finch CRESS-DNA virus,GCA_031275045.1,2366.0,53.0,,0,0,0,1
kestrel polyomavirus 1,kestrel polyomavirus 1,,,,,1,1,1,1
la Roche virus,la Roche virus,,,,,1,1,1,1
le Maire virus,le Maire virus,,,,,1,1,1,1
psittacine adenovirus 10,psittacine adenovirus 10,,,,,1,1,1,1
psittacine adenovirus 8,psittacine adenovirus 8,,,,,1,1,1,1
psittacine adenovirus 9,psittacine adenovirus 9,,,,,1,1,1,1
robinz virus RP_1123,robinz virus RP_1123,GCA_031280485.1,1929.0,34.5,,0,0,0,1
robinz virus RP_1124,robinz virus RP_1124,GCA_031280535.1,1933.0,34.5,,0,0,0,1
robinz virus RP_116,robinz virus RP_116,GCA_031280745.1,2213.0,50.0,,0,0,0,1
robinz virus RP_1170,robinz virus RP_1170,GCF_029886335.1,1846.0,39.0,2.0,0,0,0,0
robinz virus RP_199,robinz virus RP_199,GCA_031280765.1,2195.0,55.5,,0,0,0,1
robinz virus RP_212,robinz virus RP_212,GCA_031280925.1,2114.0,48.5,,0,0,0,1
robinz virus RP_244,robinz virus RP_244,GCA_031281065.1,1790.0,44.5,,0,0,0,1
robinz virus RP_258,robinz virus RP_258,GCA_031280985.1,2083.0,44.5,,0,0,0,1
robinz virus RP_259,robinz virus RP_259,GCF_029886275.1,1916.0,40.5,2.0,0,0,0,0
robinz virus RP_326,robinz virus RP_326,GCA_031280835.1,1982.0,48.0,,0,0,0,1
robinz virus RP_327,robinz virus RP_327,GCA_031281095.1,2573.0,53.5,,0,0,0,1
robinz virus RP_334,robinz virus RP_334,GCA_031281165.1,2458.0,49.0,,0,0,0,1
robinz virus RP_340,robinz virus RP_340,GCA_031281185.1,2263.0,45.5,,0,0,0,1
robinz virus RP_369,robinz virus RP_369,GCA_031280595.1,2215.0,52.0,,0,0,0,1
robinz virus RP_377,robinz virus RP_377,GCA_031280875.1,2194.0,50.5,,0,0,0,1
robinz virus RP_380,robinz virus RP_380,GCA_031280605.1,2219.0,48.0,,0,0,0,1
robinz virus RP_382,robinz virus RP_382,GCA_031281015.1,2224.0,50.0,,0,0,0,1
robinz virus RP_384,robinz virus RP_384,GCA_031280655.1,2218.0,52.0,,0,0,0,1
robinz virus RP_385,robinz virus RP_385,,,,,1,1,1,1
robinz virus RP_386,robinz virus RP_386,GCA_031281355.1,2207.0,52.0,,0,0,0,1
robinz virus RP_389,robinz virus RP_389,GCA_031281035.1,2212.0,49.5,,0,0,0,1
robinz virus RP_390,robinz virus RP_390,GCA_031280895.1,2141.0,53.0,,0,0,0,1
robinz virus RP_393,robinz virus RP_393,GCA_031280735.1,2190.0,54.5,,0,0,0,1
robinz virus RP_404,robinz virus RP_404,GCA_031281205.1,2094.0,47.5,,0,0,0,1
robinz virus RP_428,robinz virus RP_428,GCA_031281235.1,2067.0,47.0,,0,0,0,1
robinz virus RP_429,robinz virus RP_429,GCA_031281295.1,2068.0,50.5,,0,0,0,1
robinz virus RP_493,robinz virus RP_493,GCF_029886285.1,1939.0,49.0,2.0,0,0,0,0
robinz virus RP_513,robinz virus RP_513,GCA_031281325.1,1781.0,34.0,,0,0,0,1
robinz virus RP_526,robinz virus RP_526,GCF_029886295.1,1806.0,38.5,2.0,0,0,0,0
robinz virus RP_584,robinz virus RP_584,GCF_029886305.1,1882.0,42.0,2.0,0,0,0,0
robinz virus RP_620,robinz virus RP_620,GCF_029886315.1,1930.0,34.5,2.0,0,0,0,0
robinz virus RP_736,robinz virus RP_736,GCF_029886325.1,1829.0,39.5,2.0,0,0,0,0
robinz virus RP_954,robinz virus RP_954,GCA_031280465.1,1914.0,40.5,,0,0,0,1
robinz virus RP_99,robinz virus RP_99,GCA_031280575.1,2257.0,51.5,,0,0,0,1
shorebird astrovirus,shorebird astrovirus,,,,,1,1,1,1
shorebird coronavirus,shorebird coronavirus,,,,,1,1,1,1
south polar skua adenovirus-6,south polar skua adenovirus-6,,,,,1,1,1,1
ssDNA virus sp.,ssDNA virus sp.,,,,,1,1,1,1
tawny owl-associated circovirus,tawny owl-associated circovirus,GCA_031314345.1,1745.0,47.5,2.0,0,0,0,0
trumpeter swan calicivirus,trumpeter swan calicivirus,GCA_031321585.1,8368.0,52.0,2.0,0,0,0,0
unclassified avian avulavirus strain musk lorikeet/Melbourne/ML22-141263/2014,unclassified avian avulavirus strain musk lorikeet/Melbourne/ML22-141263/2014,,,,,1,1,1,1
unidentified Avipoxvirus,unidentified Avipoxvirus,,,,,1,1,1,1
unidentified adenovirus,unidentified adenovirus,GCA_024750155.1,35938.0,55.0,15.0,0,0,0,0
unidentified influenza virus,unidentified influenza virus,,,,,1,1,1,1
