,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
1013,Luscinia cyane Ichthamaparvovirus,2794553,19.0,28.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1014,Lophura nycthemera aveparvovirus,2794554,19.0,28.0,10.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1015,Ara ararauna aveparvovirus,2794555,19.0,28.0,10.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1016,Psittacidae aveparvovirus,2794556,19.0,28.0,10.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1017,Phylloscopus parvoviridae sp.,2794563,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1018,Accipiter gentilis parvo-like hybrid virus,2794564,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1019,Phylloscopus proregulus Brevihamaparvovirus,2794566,19.0,28.0,21.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1020,Anser anser dependoparvovirus,2794569,19.0,28.0,31.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1021,Psittacidae dependoparvovirus,2794570,19.0,28.0,31.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1022,Pacific black duck astrovirus,2798286,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1023,Pacific black duck aviadenovirus,2798287,23.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1024,Pacific black duck calicivirus,2798288,20.0,7.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1025,Pacific black duck orthoreovirus,2798289,21.0,41.0,84.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1026,Chestnut teal astrovirus,2798290,25.0,4.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1027,Grey teal gyrovirus,2798291,,3.0,49.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1028,French Guiana picornavirus,2803188,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7645.0,44.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1029,French Guiana reovirus,2803189,21.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,1.0,0.0,1.0,0.0,0.0
1030,Chuviridae sp.,2809007,12.0,9.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1031,Anativirus sp.,2809150,20.0,32.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1032,Avastrovirus sp.,2809168,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1033,Avisivirus sp.,2809172,20.0,32.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1034,Bavovirus sp.,2809180,20.0,7.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1035,Chaphamaparvovirus sp.,2809295,19.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1036,Durnavirales sp.,2809355,7.0,,,,,,,,,,,,,,,,,,,,
1037,Gallivirus sp.,2809412,20.0,32.0,36.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1038,Ghabrivirales sp.,2809433,9.0,,,,,,,,,,,,,,,,,,,,
1039,Grusopivirus sp.,2809444,20.0,32.0,48.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1040,Huchismacovirus sp.,2809473,6.0,40.0,54.0,,1.0,0.0,0.0,0.0,0.0,0.0,2459.0,42.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1041,Megrivirus sp.,2809560,20.0,32.0,66.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9184.0,47.5,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1042,Metaavulavirus sp.,2809562,14.0,26.0,67.0,1.0,0.0,0.0,1.0,,0.0,1.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1043,Orthoavulavirus sp.,2809629,14.0,26.0,77.0,1.0,0.0,0.0,1.0,,0.0,1.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1044,Sapelovirus sp.,2809836,20.0,32.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1045,Goose astrovirus 2,2810457,25.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7183.0,43.5,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1046,Duck-associated chapparvovirus,2810801,19.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1047,Mudlarkpox virus,2811215,4.0,35.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,342723.0,30.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1048,Albatrosspox virus,2811222,4.0,35.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,351909.0,30.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1049,Penguinpox virus 2,2811223,4.0,35.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,349821.0,30.0,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1050,Deltacoronavirus HNU1-1,2814911,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26289.0,42.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1051,Deltacoronavirus HNU1-2,2814912,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26289.0,42.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1052,Deltacoronavirus HNU3,2814913,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26208.0,42.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1053,Deltacoronavirus HNU2,2814914,15.0,11.0,29.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26240.0,41.5,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1054,Carpodacus sibiricus Genomoviridae sp.,2814940,8.0,14.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1055,Cecropis daurica Genomoviridae sp.,2814941,8.0,14.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1056,Emberiza rustica Genomoviridae sp.,2814949,8.0,14.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1057,Emberiza spodocephala Genomoviridae sp.,2814950,8.0,14.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1058,Emberiza tristrami Genomoviridae sp.,2814951,8.0,14.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1059,Fringilla montifringilla Genomoviridae sp.,2814960,8.0,14.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1060,Prunella montanella Genomoviridae sp.,2814991,8.0,14.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1061,Tarsiger cyanurus Genomoviridae sp.,2814994,8.0,14.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1062,Ciconia boyciana Circoviridae sp.,2814997,5.0,10.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1063,Fringilla montifringilla Circoviridae sp.,2815000,5.0,10.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1064,Motacilla cinerea Circoviridae sp.,2815002,5.0,10.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1065,Periparus ater Circoviridae sp.,2815004,5.0,10.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1066,Acanthis flammea CRESS-DNA-virus sp.,2815018,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1067,Chrysolophus pictus CRESS-DNA-virus sp.,2815020,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1068,Aegithalos caudatus CRESS-DNA-virus sp.,2815021,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1069,Anser anser CRESS-DNA-virus sp.,2815022,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1070,Cecropis daurica CRESS-DNA-virus sp.,2815023,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1071,Ciconia boyciana CRESS-DNA-virus sp.,2815024,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1072,Cyanopica cyanus CRESS-DNA-virus sp.,2815025,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1073,Cygnus atratus CRESS-DNA-virus sp.,2815026,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1074,Cygnus columbianus CRESS-DNA-virus sp.,2815027,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1075,Dendrocopos leucotos CRESS-DNA-virus sp.,2815028,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1076,Emberiza chrysophrys CRESS-DNA-virus sp.,2815029,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1077,Emberiza cioides CRESS-DNA-virus sp.,2815030,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1078,Emberiza elegans CRESS-DNA-virus sp.,2815031,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1079,Emberiza rustica CRESS-DNA-virus sp.,2815032,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1080,Emberiza spodocephala CRESS-DNA-virus sp.,2815033,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1081,Emberiza tristrami CRESS-DNA-virus sp.,2815034,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1082,Ficedula mugimaki CRESS-DNA-virus sp.,2815035,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1083,Ficedula parva CRESS-DNA-virus sp.,2815036,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1084,Grus monacha CRESS-DNA-virus sp.,2815037,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1085,Luscinia calliope CRESS-DNA-virus sp.,2815039,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1086,Luscinia cyane CRESS-DNA-virus sp.,2815040,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1087,Luscinia sibilans CRESS-DNA-virus sp.,2815041,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1088,Motacilla cinerea CRESS-DNA-virus sp.,2815043,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1089,Fringilla montifringilla CRESS-DNA-virus sp.,2815044,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1090,Grus japonensis CRESS-DNA-virus sp.,2815045,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1091,Muscicapa latirostris CRESS-DNA-virus sp.,2815046,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1092,Nandayus nenday CRESS-DNA-virus sp.,2815047,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1093,Otus scops CRESS-DNA-virus sp.,2815048,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1094,Pavo cristatus CRESS-DNA-virus sp.,2815049,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1095,Periparus ater CRESS-DNA-virus sp.,2815050,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1096,Phoenicopteridae CRESS-DNA-virus sp.,2815051,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1097,Phoenicopterus roseus CRESS-DNA-virus sp.,2815052,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1098,Phoenicurus auroreus CRESS-DNA-virus sp.,2815053,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1099,Phylloscopus fuscatus CRESS-DNA-virus sp.,2815054,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1100,Phylloscopus tenellipes CRESS-DNA-virus sp.,2815055,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1101,Prunella montanella CRESS-DNA-virus sp.,2815056,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1102,Psittacidae CRESS-DNA-virus sp.,2815057,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1103,Syrmaticus ellioti CRESS-DNA-virus sp.,2815058,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1104,Syrmaticus reevesii CRESS-DNA-virus sp.,2815059,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1105,Tarsiger cyanurus CRESS-DNA-virus sp.,2815060,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1106,Tragopan caboti CRESS-DNA-virus sp.,2815061,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1107,Turdus hortulorum CRESS-DNA-virus sp.,2815062,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1108,Turdus naumanni CRESS-DNA-virus sp.,2815063,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,
1109,Guinea fowl picornavirus,2817032,20.0,32.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8061.0,41.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1110,Bobaya virus,2818228,3.0,29.0,79.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,12536.0,36.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1111,Tern adenovirus,2820437,23.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1112,Enquatrovirus sp.,2821802,,38.0,32.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1113,Leucosticte brandti pegivirus,2824655,0.0,13.0,90.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10719.0,57.5,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1114,Montifringilla taczanowskii pegivirus,2824656,0.0,13.0,90.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10866.0,57.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1115,Passer montanus pegivirus,2824657,0.0,13.0,90.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10916.0,57.5,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1116,Goose pegivirus 1,2830620,0.0,13.0,90.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11479.0,57.5,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1117,Goose pegivirus 2,2830621,0.0,13.0,90.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11195.0,58.5,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1118,Mute swan feces associated partitiviridae 1,2832152,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1119,Mute swan feces associated partitiviridae A,2832153,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1120,Mute swan feces associated partitiviridae B,2832154,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1121,Mute swan feces associated partitiviridae C,2832155,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1122,Mute swan feces associated partitiviridae D,2832156,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1123,Mute swan feces associated partitiviridae E,2832157,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1124,Mute swan feces associated partitiviridae F,2832158,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1125,Mute swan feces associated partitiviridae G,2832159,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1126,Mute swan feces associated partitiviridae H,2832160,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1127,Mute swan feces associated partitiviridae I,2832161,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1128,Mute swan feces associated partitiviridae J,2832162,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1129,Mute swan feces associated partitiviridae K,2832163,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1130,Mute swan feces associated partitiviridae L,2832164,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1131,Mute swan feces associated partitiviridae M,2832165,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1132,Mute swan feces associated partitiviridae N,2832166,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1133,Mute swan feces associated partitiviridae O,2832167,7.0,27.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1134,Mute swan feces associated picobirnavirus 1,2832168,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1135,Mute swan feces associated picobirnavirus 2,2832169,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1136,Mute swan feces associated picobirnavirus 3,2832170,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1137,Mute swan feces associated picobirnavirus A,2832171,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1138,Mute swan feces associated picobirnavirus B,2832172,7.0,31.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1139,Mute swan feces associated noda-like virus 1,2832173,16.0,21.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1140,Mute swan feces associated noda-like virus 2,2832174,16.0,21.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1141,Mute swan feces associated noda-like virus 3,2832175,16.0,21.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1142,Mute swan feces associated noda-like virus 4,2832176,16.0,21.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1143,Mute swan feces associated noda-like virus 5,2832177,16.0,21.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1144,Mute swan feces associated noda-like virus 6,2832178,16.0,21.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1145,Mute swan feces associated noda-like virus 7,2832179,16.0,21.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1146,Mute swan feces associated noda-like virus 8,2832180,16.0,21.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1147,Mute swan feces associated noda-like virus 9,2832181,16.0,21.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1148,Mute swan feces associated picorna-like virus 1,2832182,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1149,Mute swan feces associated picorna-like virus 10,2832183,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1150,Mute swan feces associated picorna-like virus 11,2832184,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1151,Mute swan feces associated picorna-like virus 12,2832185,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1152,Mute swan feces associated picorna-like virus 13,2832186,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1153,Mute swan feces associated picorna-like virus 14,2832187,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1154,Mute swan feces associated picorna-like virus 15,2832188,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1155,Mute swan feces associated picorna-like virus 16,2832189,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1156,Mute swan feces associated picorna-like virus 17,2832190,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1157,Mute swan feces associated picorna-like virus 18,2832191,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1158,Mute swan feces associated picorna-like virus 19,2832192,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1159,Mute swan feces associated picorna-like virus 2,2832193,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1160,Mute swan feces associated picorna-like virus 20,2832194,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1161,Mute swan feces associated picorna-like virus 21,2832195,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1162,Mute swan feces associated picorna-like virus 22,2832196,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1163,Mute swan feces associated picorna-like virus 23,2832197,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1164,Mute swan feces associated picorna-like virus 24,2832198,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1165,Mute swan feces associated picorna-like virus 25,2832199,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1166,Mute swan feces associated picorna-like virus 26,2832200,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1167,Mute swan feces associated picorna-like virus 27,2832201,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1168,Mute swan feces associated picorna-like virus 28,2832202,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1169,Mute swan feces associated picorna-like virus 29,2832203,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1170,Mute swan feces associated picorna-like virus 3,2832204,20.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
